report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,172,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,29,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,411,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,238,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,660,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,11,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,727,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,480,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,164,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,1477,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,340,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,107,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,53,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,182,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,14,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,2024,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,712,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,327,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,2209,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,320,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,63,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,14,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,18,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,57,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,2056,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,3720,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,53,cases
