report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,960,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,823,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,2172,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,79,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,1362,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,122,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2535,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,2003,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,95,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,887,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,1757,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,2452,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,496,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,2458,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,497,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,40420,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,11237,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,1918,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,38196,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,3452,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,2025,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,95,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,311,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,621,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,18226,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,2604,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,305,cases
