report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,18,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,56,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,6,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,81,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,10,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,74,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,13,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,2,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,27,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,86,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,19,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,18,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,100,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,1,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,210,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,86,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,29,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,0,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,157,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,15,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,11,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,9,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,14,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,198,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,265,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,7,cases
